"Environment and Climate Change Canada"
"Monthly Values for March - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","6.8","0",NA,"15.5","0","0.5","0","0.0","0",NA,"36.8","0",NA,"0.0","10","","",NA,"347.6","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","5.3","15","-0.9","18.5","11","-4.0","10","1.0","29",NA,"57.2","15",NA,"","11","","",NA,"203.2","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"8.2","27","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","6.8","7",NA,"16.7","7","0.9","5","",,NA,"9.2","7",NA,"","3","",,NA,"269.6","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","7.0","1",NA,"15.0","1","1.0","1","0.0","1",NA,"38.2","1",NA,"0.0","11","","",NA,"328.6","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","5.4","0",NA,"14.5","0","-0.2","0","",,NA,"26.6","4",NA,"","6","",,NA,"390.9","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","6",NA,"30.0","6",NA,"","8","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","30.2","0","27.0","0.0","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","6.0","0",NA,"17.8","0","-3.3","0","",,NA,"",,NA,"","","",,NA,"373.4","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","7.8","8",NA,"17.5","8","0.5","8","0.0","8",NA,"39.4","8",NA,"0.0","9","","",NA,"235.2","0.0","1015638"
